,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
5561,0,1,2706,902,1353,902,2706,2706,902,451,1353,2706,2706,2706,902,902,1353,1353,2706,2706,2706,1353,902,1353,902,451,1353,902,2706,123,246,2706,2706,1353,2706,2706,1353,123,246,2706,451,2706,902,902,2706,902,2706,2706,2706,1353,2706,2706,902,902,2706,2706,2706,2706,902,451,2706,2706,902,2706,451,1353,82,-1,41,2706,902,2706,902,2706,2706,902,902,1353,2706,2706,2706,451,22,-1,33,2706,1353,2706,2706,902,1353,902,451,1353,902,2706,246,246,2706,2706
2923,0,1,70,210,35,42,6,30,70,105,105,210,210,210,105,210,35,210,210,210,210,210,210,210,210,21,42,70,210,210,42,-1,14,210,210,35,3,6,105,70,105,105,30,-1,30,210,210,35,210,15,30,210,210,210,70,210,21,42,210,105,210,42,-1,42,35,210,105,21,42,210,70,210,210,210,210,210,210,210,35,30,30,105,210,210,210,10,-1,3,42,210,105,210,6,-1,14,105,210,35,42,42
6527,0,1,115,690,115,138,138,345,115,345,690,690,690,690,345,230,115,690,345,690,690,690,690,230,690,69,138,230,345,230,46,-1,23,230,690,230,69,138,690,230,690,690,690,690,690,690,10,-1,30,345,345,345,690,690,230,690,69,138,230,345,230,46,-1,23,115,690,230,138,138,690,230,345,345,690,690,690,690,230,230,690,690,345,690,690,690,230,690,138,138,230,690,230,46,-1,-1,5,690,115,69,138
3397,0,1,253,253,253,506,253,506,253,253,506,506,253,506,506,506,253,506,253,506,506,506,46,-1,23,253,506,253,506,506,506,506,253,506,506,506,253,506,506,506,506,506,506,506,506,46,-1,-1,11,253,253,506,506,506,253,253,506,506,506,253,506,506,506,506,253,506,506,506,46,-1,46,253,253,506,506,253,506,506,506,506,506,253,506,506,506,506,506,506,506,506,506,46,-1,2,-1,11,253,506,253,506
3713,0,1,414,414,207,414,207,69,138,207,414,138,138,414,414,414,207,207,46,-1,46,414,414,414,207,207,138,138,207,414,138,138,414,414,414,414,207,46,-1,46,414,414,207,414,414,138,6,-1,18,69,138,414,414,414,207,207,46,-1,46,414,414,207,414,207,69,138,414,414,69,138,414,414,414,414,207,46,-1,46,414,414,414,207,414,69,138,414,414,138,138,414,414,414,414,18,-1,-1,23,414,414,414
4187,0,1,1260,945,630,135,3780,1890,420,945,3780,3780,1890,3780,540,945,315,180,3780,1260,378,1890,1890,252,3780,135,378,315,1890,1890,756,1890,252,140,126,1890,1890,756,315,756,3780,84,3780,630,3780,21,30,3780,189,945,3780,756,3780,3780,180,1260,3780,540,3780,3780,1890,1890,3780,210,210,3780,90,3780,420,3780,108,-1,108,945,1890,315,20,1260,1890,3780,945,945,630,1890,1890,540,1260,1890,270,945,1260,756,1260,630,378,3780,540,378,3780,3780
4661,0,1,406,1218,203,1218,174,174,406,609,1218,406,1218,1218,1218,609,203,609,1218,1218,1218,203,406,1218,1218,609,1218,406,1218,1218,1218,1218,406,1218,1218,203,87,174,1218,406,1218,203,58,-1,58,406,1218,406,1218,87,174,406,1218,609,406,1218,1218,609,42,-1,21,1218,1218,1218,203,406,609,1218,609,1218,406,1218,1218,1218,609,406,1218,1218,203,87,174,609,406,1218,203,58,-1,29,406,1218,406,1218,174,174,406,609,1218,406,1218,1218
4819,0,1,462,462,231,462,33,66,154,231,231,462,462,462,231,231,231,231,462,462,462,231,154,231,231,231,462,154,462,42,42,462,462,462,462,231,33,6,42,462,231,462,22,-1,66,154,462,231,462,33,66,462,462,462,231,462,231,462,462,77,231,462,462,462,77,462,42,-1,21,462,154,462,462,462,462,154,462,462,462,66,66,231,154,231,231,66,-1,66,462,462,231,462,33,66,154,462,21,42,462,462
5293,0,1,4346,2173,2173,4346,4346,4346,4346,2173,2173,2173,2173,4346,4346,4346,2173,4346,4346,4346,4346,4346,4346,2173,4346,2173,4346,2173,4346,2173,2173,4346,4346,2173,4346,4346,2173,2173,4346,4346,2173,2173,4346,4346,2173,4346,4346,4346,2173,2173,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,2173,4346,4346,2173,4346,4346,4346,4346,2173,4346,4346,4346,4346,4346,2173,4346,4346,4346,4346,4346,2173,106,-1,106,4346,2173,2173,4346,4346,2173,4346,2173,4346,4346,4346,4346,4346,4346,2173
5609,0,1,1173,782,1173,2346,2346,1173,391,391,782,2346,2346,782,391,2346,1173,1173,1173,2346,2346,2346,782,782,782,1173,2346,782,1173,2346,782,782,1173,2346,391,2346,1173,782,2346,782,2346,2346,782,2346,2346,2346,6,-1,102,1173,1173,2346,2346,2346,2346,1173,69,138,2346,1173,2346,391,2346,1173,391,2346,782,2346,1173,782,2346,2346,391,782,2346,2346,782,2346,2346,391,782,391,2346,1173,2346,2346,2346,2346,2346,782,782,2346,2346,34,-1,34,2346,1173,1173,2346
