,0,1,2,3,4,5,6,7,8,9
16637,0,1,910,8190,455,2730,8190,8190,910,4095
17399,0,1,476,8568,238,2856,8568,4284,476,4284
17947,0,1,4420,8840,2210,8840,8840,4420,4420,4420
17653,0,1,966,2898,483,966,2898,2898,322,1449
18209,0,1,8970,8970,4485,4485,2990,4485,2990,4485
19043,0,1,4692,9384,2346,9384,3128,4692,1564,4692
18923,0,1,1036,9324,518,1554,4662,4662,1036,4662
19519,0,1,9620,9620,4810,2405,4810,4810,9620,4810
20413,0,1,2516,5032,1258,5032,5032,2516,2516,2516
20711,0,1,10212,10212,5106,2553,851,5106,3404,5106
19177,0,1,105,3150,105,1050,3150,3150,35,1575
19781,0,1,390,650,195,975,1950,1950,130,325
20687,0,1,1020,3400,510,10200,10200,5100,340,1700
20989,0,1,690,3450,345,1725,3450,3450,230,1725
22499,0,1,2220,3700,1110,2775,5550,5550,740,1850
19939,0,1,364,1638,182,1092,3276,3276,364,819
20567,0,1,260,390,130,780,780,260,260,195
21509,0,1,884,5304,442,5304,5304,884,884,2652
21823,0,1,3588,1794,1794,3588,3588,3588,1196,897
23393,0,1,1924,5772,962,5772,5772,1924,1924,2886
23707,0,1,780,1950,390,3900,3900,3900,260,975
20701,0,1,1134,1134,567,378,378,1134,378,567
21353,0,1,10530,10530,5265,3510,3510,10530,3510,5265
22331,0,1,5508,11016,2754,3672,3672,5508,1836,5508
22657,0,1,3726,3726,1863,1242,621,3726,1242,1863
24287,0,1,11988,11988,5994,1998,999,5994,3996,5994
24613,0,1,810,4050,405,1350,1350,4050,270,2025
25591,0,1,4212,2106,2106,1404,1404,4212,1404,1053
21209,0,1,581,10458,581,3486,10458,10458,581,5229
21877,0,1,10790,5395,5395,10790,10790,5395,10790,5395
22879,0,1,5644,11288,2822,11288,11288,5644,5644,5644
23213,0,1,11454,11454,5727,11454,1909,5727,3818,5727
24883,0,1,12284,12284,6142,6142,3071,6142,12284,6142
25217,0,1,1245,4150,1245,12450,12450,12450,415,2075
26219,0,1,4316,6474,2158,12948,12948,4316,4316,3237
27221,0,1,13446,13446,6723,4482,2241,13446,4482,6723
21971,0,1,1204,10836,602,3612,5418,10836,1204,5418
22663,0,1,11180,11180,5590,11180,5590,11180,11180,5590
23701,0,1,2924,5848,1462,5848,5848,2924,2924,2924
24047,0,1,11868,11868,5934,11868,989,11868,3956,5934
25777,0,1,6364,6364,3182,6364,1591,6364,6364,3182
26123,0,1,2580,4300,1290,12900,6450,12900,860,2150
27161,0,1,2236,6708,1118,6708,6708,2236,2236,3354
28199,0,1,13932,13932,6966,4644,1161,13932,4644,6966
28891,0,1,14276,14276,7138,14276,3569,14276,14276,7138
22733,0,1,1246,11214,623,3738,11214,11214,1246,5607
23449,0,1,11570,5785,5785,5785,11570,11570,11570,5785
24523,0,1,6052,12104,3026,12104,12104,6052,6052,6052
24881,0,1,12282,12282,6141,6141,4094,12282,4094,6141
26671,0,1,13172,13172,6586,3293,6586,6586,13172,6586
27029,0,1,2670,4450,1335,6675,13350,13350,890,2225
28103,0,1,4628,6942,2314,13884,13884,4628,4628,3471
29177,0,1,14418,14418,7209,4806,4806,14418,4806,7209
29893,0,1,14774,7387,7387,14774,14774,14774,14774,7387
30967,0,1,15308,15308,7654,15308,7654,15308,15308,7654
22987,0,1,1260,630,630,210,1260,252,420,315
23711,0,1,2340,585,1170,195,780,780,780,585
24797,0,1,3060,6120,1530,2040,2040,204,1020,3060
25159,0,1,4140,2070,2070,345,1380,276,1380,1035
26969,0,1,6660,6660,3330,555,2220,444,2220,3330
27331,0,1,180,450,90,75,300,300,60,225
28417,0,1,2340,1170,1170,780,780,156,780,585
29503,0,1,1620,810,810,270,540,324,540,405
30227,0,1,14940,3735,7470,2490,4980,996,4980,3735
31313,0,1,7740,7740,3870,2580,2580,516,2580,3870
32399,0,1,16020,4005,8010,1335,5340,1068,5340,4005
24257,0,1,665,11970,665,798,2394,630,665,5985
25021,0,1,2470,1235,1235,1235,2470,130,2470,1235
26167,0,1,6460,12920,3230,2584,2584,340,6460,6460
26549,0,1,13110,13110,6555,1311,437,690,4370,6555
28459,0,1,14060,14060,7030,703,703,370,14060,7030
28841,0,1,285,950,285,1425,2850,150,95,475
29987,0,1,4940,7410,2470,2964,2964,260,4940,3705
31133,0,1,15390,15390,7695,1026,513,810,5130,7695
31897,0,1,7885,7885,7885,3154,1577,830,7885,7885
33043,0,1,16340,16340,8170,3268,817,860,16340,8170
34189,0,1,16910,8455,8455,1691,3382,890,16910,8455
34571,0,1,3420,855,1710,285,1140,60,1140,855
24511,0,1,672,1008,336,1344,2016,504,224,504
25283,0,1,6240,1040,3120,12480,6240,1560,2080,520
26441,0,1,1632,272,816,3264,1632,408,544,136
26827,0,1,2208,1104,1104,4416,2208,552,736,552
28757,0,1,3552,592,1776,7104,3552,888,1184,296
29143,0,1,480,400,240,4800,2400,600,160,200
30301,0,1,1248,624,624,2496,1248,312,416,312
31459,0,1,2592,1296,1296,1728,864,648,864,648
32231,0,1,7968,1328,3984,15936,7968,1992,2656,664
33389,0,1,4128,688,2064,8256,4128,1032,1376,344
34547,0,1,8544,1424,4272,17088,8544,2136,2848,712
34933,0,1,1440,720,720,960,480,24,480,360
