,0,1,2,3,4
16637,0,1,910,8190,455
17399,0,1,476,8568,238
17947,0,1,4420,8840,2210
17653,0,1,966,2898,483
18209,0,1,8970,8970,4485
19043,0,1,4692,9384,2346
18923,0,1,1036,9324,518
19519,0,1,9620,9620,4810
20413,0,1,2516,5032,1258
20711,0,1,10212,10212,5106
19177,0,1,105,3150,105
19781,0,1,390,650,195
20687,0,1,1020,3400,510
20989,0,1,690,3450,345
22499,0,1,2220,3700,1110
19939,0,1,364,1638,182
20567,0,1,260,390,130
21509,0,1,884,5304,442
21823,0,1,3588,1794,1794
23393,0,1,1924,5772,962
23707,0,1,780,1950,390
20701,0,1,1134,1134,567
21353,0,1,10530,10530,5265
22331,0,1,5508,11016,2754
22657,0,1,3726,3726,1863
24287,0,1,11988,11988,5994
24613,0,1,810,4050,405
25591,0,1,4212,2106,2106
21209,0,1,581,10458,581
21877,0,1,10790,5395,5395
22879,0,1,5644,11288,2822
23213,0,1,11454,11454,5727
24883,0,1,12284,12284,6142
25217,0,1,1245,4150,1245
26219,0,1,4316,6474,2158
27221,0,1,13446,13446,6723
21971,0,1,1204,10836,602
22663,0,1,11180,11180,5590
23701,0,1,2924,5848,1462
24047,0,1,11868,11868,5934
25777,0,1,6364,6364,3182
26123,0,1,2580,4300,1290
27161,0,1,2236,6708,1118
28199,0,1,13932,13932,6966
28891,0,1,14276,14276,7138
22733,0,1,1246,11214,623
23449,0,1,11570,5785,5785
24523,0,1,6052,12104,3026
24881,0,1,12282,12282,6141
26671,0,1,13172,13172,6586
27029,0,1,2670,4450,1335
28103,0,1,4628,6942,2314
29177,0,1,14418,14418,7209
29893,0,1,14774,7387,7387
30967,0,1,15308,15308,7654
22987,0,1,1260,630,630
23711,0,1,2340,585,1170
24797,0,1,3060,6120,1530
25159,0,1,4140,2070,2070
26969,0,1,6660,6660,3330
27331,0,1,180,450,90
28417,0,1,2340,1170,1170
29503,0,1,1620,810,810
30227,0,1,14940,3735,7470
31313,0,1,7740,7740,3870
32399,0,1,16020,4005,8010
24257,0,1,665,11970,665
25021,0,1,2470,1235,1235
26167,0,1,6460,12920,3230
26549,0,1,13110,13110,6555
28459,0,1,14060,14060,7030
28841,0,1,285,950,285
29987,0,1,4940,7410,2470
31133,0,1,15390,15390,7695
31897,0,1,7885,7885,7885
33043,0,1,16340,16340,8170
34189,0,1,16910,8455,8455
34571,0,1,3420,855,1710
24511,0,1,672,1008,336
25283,0,1,6240,1040,3120
26441,0,1,1632,272,816
26827,0,1,2208,1104,1104
28757,0,1,3552,592,1776
29143,0,1,480,400,240
30301,0,1,1248,624,624
31459,0,1,2592,1296,1296
32231,0,1,7968,1328,3984
33389,0,1,4128,688,2064
34547,0,1,8544,1424,4272
34933,0,1,1440,720,720
36863,0,1,9120,1520,4560
25019,0,1,196,1764,98
25807,0,1,12740,12740,6370
26989,0,1,3332,6664,1666
27383,0,1,13524,13524,6762
29353,0,1,7252,7252,3626
29747,0,1,2940,4900,1470
30929,0,1,2548,7644,1274
32111,0,1,15876,15876,7938
32899,0,1,16268,16268,8134
34081,0,1,8428,8428,4214
35263,0,1,17444,17444,8722
35657,0,1,8820,8820,4410
37627,0,1,18620,18620,9310
38021,0,1,4704,784,2352
25273,0,1,693,1386,693
26069,0,1,12870,12870,6435
27263,0,1,6732,13464,3366
27661,0,1,4554,4554,2277
29651,0,1,14652,14652,7326
30049,0,1,495,4950,495
31243,0,1,5148,2574,2574
32437,0,1,1782,1782,891
33233,0,1,8217,16434,8217
34427,0,1,17028,17028,8514
35621,0,1,17622,17622,8811
36019,0,1,1980,990,990
38009,0,1,9405,18810,9405
38407,0,1,3168,1584,1584
39203,0,1,19404,19404,9702
26797,0,1,210,630,105
27641,0,1,2730,2730,1365
28907,0,1,7140,14280,3570
29329,0,1,4830,4830,2415
31439,0,1,15540,15540,7770
31861,0,1,210,1050,105
33127,0,1,5460,2730,2730
34393,0,1,5670,5670,2835
35237,0,1,17430,17430,8715
36503,0,1,18060,18060,9030
37769,0,1,18690,18690,9345
38191,0,1,1260,630,630
40301,0,1,3990,3990,1995
40723,0,1,3360,1680,1680
41567,0,1,2940,2940,1470
41989,0,1,6930,6930,3465
28321,0,1,259,4662,259
29213,0,1,4810,14430,2405
30551,0,1,2516,15096,1258
30997,0,1,5106,5106,2553
33227,0,1,148,444,74
33673,0,1,555,5550,555
35011,0,1,1924,2886,962
36349,0,1,5994,5994,2997
37241,0,1,3071,18426,3071
38579,0,1,6364,19092,3182
39917,0,1,6586,19758,3293
40363,0,1,6660,3330,3330
42593,0,1,3515,21090,3515
43039,0,1,3552,1776,1776
43931,0,1,7252,21756,3626
44377,0,1,3663,7326,3663
47053,0,1,7770,7770,3885
28829,0,1,1582,14238,791
29737,0,1,14690,7345,7345
31099,0,1,7684,15368,3842
31553,0,1,15594,15594,7797
33823,0,1,16724,16724,8362
34277,0,1,3390,5650,1695
35639,0,1,5876,8814,2938
37001,0,1,18306,18306,9153
37909,0,1,18758,9379,9379
39271,0,1,19436,19436,9718
40633,0,1,20114,10057,10057
41087,0,1,20340,5085,10170
43357,0,1,21470,10735,10735
43811,0,1,10848,1808,5424
44719,0,1,22148,22148,11074
45173,0,1,22374,22374,11187
47897,0,1,23730,23730,11865
50621,0,1,8362,25086,4181
29083,0,1,532,2394,266
29999,0,1,4940,3705,2470
31373,0,1,1292,7752,646
31831,0,1,5244,2622,2622
34121,0,1,2812,8436,1406
34579,0,1,1140,2850,570
35953,0,1,988,1482,494
37327,0,1,6156,3078,3078
38243,0,1,6308,4731,3154
39617,0,1,3268,9804,1634
40991,0,1,6764,5073,3382
41449,0,1,3420,855,1710
43739,0,1,380,285,190
44197,0,1,1824,912,912
45113,0,1,3724,11172,1862
45571,0,1,7524,3762,3762
48319,0,1,7980,3990,3990
51067,0,1,2812,4218,1406
51983,0,1,8588,6441,4294
29591,0,1,203,14616,203
30523,0,1,3770,15080,1885
31921,0,1,1972,3944,986
32387,0,1,4002,16008,2001
34717,0,1,4292,8584,2146
35183,0,1,435,5800,435
36581,0,1,1508,9048,754
37979,0,1,4698,18792,2349
38911,0,1,2407,19256,2407
40309,0,1,4988,9976,2494
41707,0,1,5162,20648,2581
42173,0,1,5220,10440,2610
44503,0,1,2755,22040,2755
44969,0,1,2784,464,1392
45901,0,1,5684,11368,2842
46367,0,1,2871,22968,2871
49163,0,1,6090,24360,3045
51959,0,1,1073,25752,1073
52891,0,1,6554,26216,3277
53357,0,1,2204,13224,1102
30353,0,1,119,2142,119
31309,0,1,15470,7735,7735
32743,0,1,476,952,238
33221,0,1,16422,16422,8211
35611,0,1,17612,17612,8806
36089,0,1,1785,5950,1785
37523,0,1,6188,9282,3094
38957,0,1,19278,19278,9639
39913,0,1,9877,9877,9877
41347,0,1,20468,20468,10234
42781,0,1,21182,10591,10591
43259,0,1,21420,5355,10710
45649,0,1,11305,11305,11305
46127,0,1,11424,1904,5712
47083,0,1,3332,3332,1666
47561,0,1,11781,23562,11781
50429,0,1,3570,3570,1785
53297,0,1,4403,26418,4403
54253,0,1,26894,13447,13447
54731,0,1,9044,6783,4522
55687,0,1,3451,27608,3451
30607,0,1,168,2520,84
31571,0,1,1560,1560,780
33017,0,1,408,2040,204
33499,0,1,552,2760,276
35909,0,1,888,4440,444
36391,0,1,120,600,60
37837,0,1,312,1560,156
39283,0,1,648,3240,324
40247,0,1,1992,9960,996
41693,0,1,1032,5160,516
43139,0,1,2136,10680,1068
43621,0,1,360,360,180
46031,0,1,2280,2280,1140
46513,0,1,96,240,48
47477,0,1,1176,5880,588
47959,0,1,792,3960,396
50851,0,1,840,840,420
53743,0,1,888,4440,444
54707,0,1,2712,13560,1356
55189,0,1,456,2280,228
56153,0,1,696,3480,348
57599,0,1,2856,14280,1428
31877,0,1,350,15750,175
32881,0,1,650,1625,325
34387,0,1,1700,17000,850
34889,0,1,3450,17250,1725
37399,0,1,3700,18500,1850
37901,0,1,150,250,75
39407,0,1,1300,9750,650
40913,0,1,4050,20250,2025
41917,0,1,4150,10375,2075
43423,0,1,4300,21500,2150
44929,0,1,4450,11125,2225
45431,0,1,900,1125,450
47941,0,1,950,2375,475
48443,0,1,2400,2000,1200
49447,0,1,4900,24500,2450
49949,0,1,4950,24750,2475
