,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
547.0,0,1,546,14,273,546,273,546,182,7,91,39,546,21,21,273,273,546,546,273,546,39,546,546,91,273,78,14,26,91,26,182,546,546,273,91,273,546,26,42,3,6,42,546,91,546,13,39,546,273,546,273,91,273,39,182,273,546,546,78,273,546,273,546,91,182,273,273,182,273,546,546,26,273,273,546,273,546,273,182,182,7,273,78,91,91,273,182,546,182,91,546,546,91,182,546,39,273,182,273
557.0,0,1,556,556,278,556,139,278,556,278,278,556,556,556,556,139,139,278,556,139,556,556,278,556,278,278,278,556,139,278,556,556,556,139,556,556,139,556,556,139,139,556,278,139,556,556,278,556,556,139,556,556,556,556,278,278,556,556,556,278,278,556,278,139,278,278,556,139,139,139,139,278,556,278,139,556,278,556,556,278,556,139,139,139,556,556,556,556,139,556,139,556,556,139,278,556,139,278,556,556
563.0,0,1,562,281,281,562,562,281,562,281,281,281,281,281,562,562,281,281,562,281,562,281,562,281,562,281,562,281,281,562,281,562,562,281,562,562,281,562,562,281,281,562,562,562,281,562,562,281,281,281,562,281,281,562,562,562,562,281,281,281,562,281,281,281,281,562,562,281,281,281,281,281,562,562,281,281,281,281,562,562,562,281,281,562,281,562,281,562,562,562,281,281,281,562,562,562,562,562,562,281
569.0,0,1,284,568,142,71,568,284,284,284,284,568,568,284,142,568,71,284,71,568,142,568,568,568,568,71,142,568,284,568,568,568,284,71,142,284,284,568,568,568,284,142,568,142,568,284,568,568,568,142,284,568,284,568,568,568,71,284,568,568,568,284,568,71,142,284,284,284,284,71,142,284,142,568,568,568,8,568,568,284,71,142,284,568,568,284,4,142,568,568,71,142,568,142,568,568,568,568,284,568
571.0,0,1,114,570,57,285,95,190,38,285,570,285,570,285,285,190,57,570,570,570,95,285,190,95,285,285,190,190,570,57,285,19,114,570,285,570,95,285,95,570,570,114,190,285,285,285,570,114,190,95,190,95,285,570,285,19,95,285,114,19,570,285,114,570,19,95,285,570,190,30,285,30,570,570,570,114,570,570,285,570,285,285,57,285,285,114,190,190,570,570,10,570,285,570,19,190,285,285,30,19
577.0,0,1,144,48,72,576,72,576,48,24,576,96,144,576,192,576,36,288,144,48,64,576,288,288,4,288,192,16,576,192,576,18,144,32,288,32,36,64,36,576,576,192,64,576,288,576,96,192,144,288,96,288,576,288,36,576,576,12,576,96,192,576,48,576,24,16,288,64,96,288,288,16,48,576,576,288,144,576,64,576,576,12,576,64,576,576,192,192,96,576,576,72,288,144,576,576,72,64,288,96
587.0,0,1,586,293,293,586,586,293,586,293,293,586,293,586,586,586,293,293,586,586,586,293,293,586,586,293,293,293,293,293,293,293,586,586,586,586,293,586,293,586,293,586,586,293,586,586,293,293,293,293,586,293,586,293,586,293,586,586,586,293,586,586,586,293,293,293,293,293,293,586,293,586,586,293,293,293,586,586,293,293,586,293,293,293,293,586,586,293,293,293,293,586,586,293,586,293,586,586,586,586
593.0,0,1,148,592,74,592,592,592,148,296,592,592,592,592,592,74,37,296,296,148,592,148,592,74,592,296,592,592,592,148,148,148,148,296,296,296,296,74,74,148,592,592,37,592,592,592,148,592,592,296,296,592,592,296,592,74,592,592,74,8,37,592,37,592,74,296,296,592,296,592,296,296,296,296,148,592,148,4,37,37,592,148,16,296,148,592,592,592,592,592,592,296,37,592,16,592,592,148,296,592
599.0,0,1,299,299,299,299,299,598,299,299,299,598,299,299,598,299,299,299,23,13,299,46,598,598,299,299,299,299,598,598,299,598,299,598,299,598,299,299,299,23,299,299,598,598,598,299,598,299,299,299,299,299,299,299,299,598,598,23,598,598,299,598,598,26,299,299,598,299,299,598,598,299,299,598,299,299,299,299,299,598,299,299,299,299,598,299,598,598,598,598,299,598,598,598,299,299,299,598,299,598
601.0,0,1,25,75,25,12,75,600,25,75,300,600,75,20,600,300,25,120,15,600,300,120,600,300,3,6,100,25,120,600,300,200,5,600,600,600,75,30,600,300,300,600,600,600,600,100,300,75,75,300,150,200,100,600,25,600,600,120,600,8,300,300,200,200,25,30,600,75,600,300,600,120,75,600,150,50,120,300,300,200,300,75,600,200,600,40,600,120,600,50,20,600,300,600,75,600,75,40,300,40
607.0,0,1,303,606,303,606,202,101,101,303,202,303,606,303,303,303,303,606,303,303,606,606,303,606,606,303,101,202,303,606,303,606,303,202,202,606,101,202,303,606,606,303,202,303,101,202,606,101,202,101,303,303,303,303,606,202,101,202,202,606,101,303,606,303,101,606,606,606,606,101,202,303,303,303,606,202,101,303,606,303,202,303,101,202,606,303,303,303,303,303,606,303,202,101,303,202,606,303,303,303
